(('the', 1.0), 90, (1369, 1525), 2, 'hsl(0, 100%, 30%)')
(('of', 0.60056260216624879), 72, (1627, 1369), 2, 'hsl(0, 100%, 30%)')
(('and', 0.41021058319624787), 61, (1428, 1244), 2, 'hsl(0, 100%, 30%)')
(('to', 0.34762236552007747), 56, (1526, 1629), None, 'hsl(0, 100%, 30%)')
(('in', 0.29860970756753813), 52, (1611, 1460), None, 'hsl(0, 100%, 30%)')
(('a', 0.26205999840268318), 49, (1647, 1311), 2, 'hsl(0, 100%, 30%)')
(('is', 0.14858437849573344), 38, (1393, 1487), 2, 'hsl(0, 100%, 30%)')
(('that', 0.14213909245084091), 37, (1714, 1443), None, 'hsl(0, 100%, 30%)')
(('it', 0.11298220267870243), 33, (1589, 1315), None, 'hsl(0, 100%, 30%)')
(('for', 0.10761588975552569), 32, (1439, 1369), 2, 'hsl(0, 100%, 30%)')
(('was', 0.10651515624903064), 32, (1541, 1709), 2, 'hsl(0, 100%, 30%)')
(('as', 0.10374530575409537), 32, (1482, 1725), None, 'hsl(0, 100%, 30%)')
(('by', 0.09372655983853953), 30, (1283, 1402), 2, 'hsl(0, 100%, 30%)')
(('with', 0.093663372916898704), 30, (1611, 1579), 2, 'hsl(0, 100%, 30%)')
(('be', 0.092458625260028987), 30, (1431, 1421), None, 'hsl(0, 100%, 30%)')
(('he', 0.083556676594263288), 29, (1671, 1543), 2, 'hsl(0, 100%, 30%)')
(('his', 0.07971586003958174), 28, (1401, 1669), None, 'hsl(0, 100%, 30%)')
(('not', 0.079497505925427051), 28, (1336, 1410), None, 'hsl(0, 100%, 30%)')
(('on', 0.07804992264380245), 28, (1557, 1330), None, 'hsl(0, 100%, 30%)')
(('which', 0.073921718533946343), 27, (1534, 1553), 2, 'hsl(0, 100%, 30%)')
(('this', 0.068972259347805057), 26, (1428, 1679), 2, 'hsl(0, 100%, 30%)')
(('i', 0.0673714119663789), 26, (1500, 1425), None, 'hsl(0, 100%, 30%)')
(('at', 0.065774370662347093), 26, (1536, 1244), 2, 'hsl(0, 100%, 30%)')
(('or', 0.065712859862534168), 26, (1465, 1443), 2, 'hsl(0, 100%, 30%)')
(('from', 0.06436785548025431), 26, (1536, 1396), 2, 'hsl(0, 100%, 30%)')
(('are', 0.062486378776984756), 26, (1614, 1664), 2, 'hsl(0, 100%, 30%)')
(('but', 0.056839986401210775), 25, (1505, 1711), None, 'hsl(0, 100%, 30%)')
(('had', 0.05199589139709504), 24, (1505, 1434), None, 'hsl(0, 100%, 30%)')
(('have', 0.051930491438237997), 24, (1496, 1318), None, 'hsl(0, 100%, 30%)')
(('they', 0.046623218176753453), 23, (1369, 1321), 2, 'hsl(0, 100%, 30%)')
(('an', 0.045588099504964098), 23, (1305, 1502), None, 'hsl(0, 100%, 30%)')
(('were', 0.043826481345059433), 23, (1335, 1652), None, 'hsl(0, 100%, 30%)')
(('their', 0.041859765160204607), 22, (1613, 1339), 2, 'hsl(0, 100%, 30%)')
(('all', 0.041682988227839592), 22, (1598, 1391), 2, 'hsl(0, 100%, 30%)')
(('one', 0.039842619560986836), 22, (1470, 1498), 2, 'hsl(0, 100%, 30%)')
(('we', 0.038333304152683233), 22, (1697, 1517), 2, 'hsl(0, 100%, 30%)')
(('been', 0.033172914130544982), 21, (1582, 1576), None, 'hsl(0, 100%, 30%)')
(('you', 0.031626786479474915), 21, (1544, 1484), 2, 'hsl(0, 100%, 30%)')
(('there', 0.030286031611570483), 21, (1713, 1567), None, 'hsl(0, 100%, 30%)')
(('has', 0.030137537063549148), 21, (1261, 1425), None, 'hsl(0, 100%, 30%)')
(('so', 0.030112145871207752), 21, (1698, 1377), None, 'hsl(0, 100%, 30%)')
(('who', 0.028726783369321385), 21, (1332, 1519), 2, 'hsl(0, 100%, 30%)')
(('when', 0.027885745216621221), 21, (1438, 1327), 2, 'hsl(0, 100%, 30%)')
(('its', 0.027714717440829859), 21, (1292, 1479), 2, 'hsl(0, 100%, 30%)')
(('no', 0.027679646147546939), 21, (1350, 1669), 2, 'hsl(0, 100%, 30%)')
(('will', 0.027600825876760687), 21, (1621, 1629), None, 'hsl(0, 100%, 30%)')
(('if', 0.02757247264660494), 21, (1458, 1407), 2, 'hsl(0, 100%, 30%)')
(('more', 0.027176826479563834), 21, (1633, 1434), 2, 'hsl(0, 100%, 30%)')
(('her', 0.026527502633686459), 21, (1307, 1629), None, 'hsl(0, 100%, 30%)')
(('would', 0.026499688598845782), 21, (1506, 1578), 2, 'hsl(0, 100%, 30%)')
(('may', 0.025919153883889087), 21, (1490, 1611), None, 'hsl(0, 100%, 30%)')
(('him', 0.025850815025242866), 21, (1287, 1336), 2, 'hsl(0, 100%, 30%)')
(('them', 0.025329237331941014), 21, (1371, 1394), None, 'hsl(0, 100%, 30%)')
(('other', 0.024262261691058353), 21, (1277, 1589), None, 'hsl(0, 100%, 30%)')
(('can', 0.023947433655348752), 21, (1241, 1486), 2, 'hsl(0, 100%, 30%)')
(('these', 0.023585905241133961), 21, (1325, 1600), 2, 'hsl(0, 100%, 30%)')
(('than', 0.021784831757815551), 20, (1572, 1273), 2, 'hsl(0, 100%, 30%)')
(('some', 0.021604834978275055), 20, (1338, 1337), None, 'hsl(0, 100%, 30%)')
(('such', 0.020847506595436303), 20, (1722, 1396), None, 'hsl(0, 100%, 30%)')
(('into', 0.020819856605764259), 20, (1383, 1611), 2, 'hsl(0, 100%, 30%)')
(('any', 0.020662727380812707), 20, (1331, 1575), 2, 'hsl(0, 100%, 30%)')
(('only', 0.020533720681080392), 20, (1251, 1522), None, 'hsl(0, 100%, 30%)')
(('time', 0.020202061746360939), 20, (1669, 1624), 2, 'hsl(0, 100%, 30%)')
(('she', 0.019830125180508227), 20, (1548, 1735), 2, 'hsl(0, 100%, 30%)')
(('what', 0.019681852621777442), 20, (1275, 1567), 2, 'hsl(0, 100%, 30%)')
(('my', 0.019640125029355384), 20, (1271, 1530), 2, 'hsl(0, 100%, 30%)')
(('two', 0.018653814637724187), 19, (1266, 1367), None, 'hsl(0, 100%, 30%)')
(('our', 0.018317410242991338), 19, (1504, 1680), 2, 'hsl(0, 100%, 30%)')
(('out', 0.017598910296880713), 19, (1568, 1658), 2, 'hsl(0, 100%, 30%)')
(('do', 0.016890865607035795), 19, (1566, 1673), 2, 'hsl(0, 100%, 30%)')
(('first', 0.016780847695391739), 19, (1392, 1281), 2, 'hsl(0, 100%, 30%)')
(('very', 0.016414241342058638), 19, (1405, 1517), 2, 'hsl(0, 100%, 30%)')
(('should', 0.016311143686384585), 19, (1657, 1468), None, 'hsl(0, 100%, 30%)')
(('up', 0.016095831244892559), 19, (1397, 1450), None, 'hsl(0, 100%, 30%)')
(('new', 0.015961601057788644), 19, (1388, 1724), 2, 'hsl(0, 100%, 30%)')
(('upon', 0.015843870339973077), 19, (1413, 1641), 2, 'hsl(0, 100%, 30%)')
(('made', 0.015765100587855688), 19, (1689, 1429), None, 'hsl(0, 100%, 30%)')
(('about', 0.015758037454710092), 19, (1558, 1510), 2, 'hsl(0, 100%, 30%)')
(('most', 0.015579320967615343), 19, (1466, 1603), None, 'hsl(0, 100%, 30%)')
