(('de', 1.0), 90, (1354, 1346), 2, 'hsl(0, 100%, 30%)')
(('la', 0.56041588476765036), 70, (1420, 1480), None, 'hsl(0, 100%, 30%)')
(('que', 0.43062892556780863), 62, (1342, 1558), 2, 'hsl(0, 100%, 30%)')
(('y', 0.41034908248071822), 61, (1435, 1656), 2, 'hsl(0, 100%, 30%)')
(('el', 0.38859304113736048), 59, (1656, 1560), 2, 'hsl(0, 100%, 30%)')
(('en', 0.38428932200529997), 59, (1521, 1400), None, 'hsl(0, 100%, 30%)')
(('los', 0.26024344008193739), 49, (1594, 1328), 2, 'hsl(0, 100%, 30%)')
(('del', 0.18778078954577676), 42, (1522, 1707), 2, 'hsl(0, 100%, 30%)')
(('se', 0.1856678215579419), 42, (1507, 1611), 2, 'hsl(0, 100%, 30%)')
(('las', 0.17261036302329996), 41, (1367, 1292), 2, 'hsl(0, 100%, 30%)')
(('a', 0.16277305667568584), 40, (1678, 1450), None, 'hsl(0, 100%, 30%)')
(('por', 0.15891015956834961), 40, (1618, 1488), 2, 'hsl(0, 100%, 30%)')
(('con', 0.11558107281720353), 35, (1592, 1390), None, 'hsl(0, 100%, 30%)')
(('no', 0.11520077790077692), 35, (1715, 1500), None, 'hsl(0, 100%, 30%)')
(('á', 0.10789912020465219), 34, (1488, 1712), 2, 'hsl(0, 100%, 30%)')
(('su', 0.10134251441339952), 33, (1484, 1295), None, 'hsl(0, 100%, 30%)')
(('para', 0.094261414303565619), 32, (1490, 1501), None, 'hsl(0, 100%, 30%)')
(('un', 0.09259194294010277), 32, (1492, 1347), 2, 'hsl(0, 100%, 30%)')
(('al', 0.089847916533375954), 32, (1605, 1280), 2, 'hsl(0, 100%, 30%)')
(('una', 0.080912006386842344), 30, (1569, 1461), None, 'hsl(0, 100%, 30%)')
(('es', 0.074012644415884427), 29, (1569, 1613), None, 'hsl(0, 100%, 30%)')
(('lo', 0.068030747455746943), 28, (1611, 1668), 2, 'hsl(0, 100%, 30%)')
(('como', 0.060058533647760946), 26, (1421, 1424), 2, 'hsl(0, 100%, 30%)')
(('sus', 0.048136043546177891), 23, (1519, 1657), 2, 'hsl(0, 100%, 30%)')
(('más', 0.037659197966966748), 20, (1358, 1622), 2, 'hsl(0, 100%, 30%)')
(('este', 0.033582008751951872), 19, (1234, 1480), 2, 'hsl(0, 100%, 30%)')
(('ha', 0.033476320623047583), 19, (1618, 1379), 2, 'hsl(0, 100%, 30%)')
(('o', 0.033265187589222693), 19, (1495, 1684), 2, 'hsl(0, 100%, 30%)')
(('esta', 0.031104896779919445), 18, (1370, 1650), 2, 'hsl(0, 100%, 30%)')
(('si', 0.03003505486072448), 18, (1469, 1371), None, 'hsl(0, 100%, 30%)')
(('le', 0.028651485656114514), 18, (1549, 1498), 2, 'hsl(0, 100%, 30%)')
(('sin', 0.027747725524479672), 18, (1281, 1630), None, 'hsl(0, 100%, 30%)')
(('sobre', 0.027436245248969971), 18, (1241, 1458), 2, 'hsl(0, 100%, 30%)')
(('pero', 0.026433206092815395), 18, (1601, 1510), 2, 'hsl(0, 100%, 30%)')
(('ó', 0.024460425318359773), 17, (1738, 1450), 2, 'hsl(0, 100%, 30%)')
(('i', 0.020910040243209266), 16, (1406, 1337), None, 'hsl(0, 100%, 30%)')
(('entre', 0.019803467220264982), 16, (1311, 1474), None, 'hsl(0, 100%, 30%)')
(('ser', 0.019461585257559505), 16, (1512, 1235), 2, 'hsl(0, 100%, 30%)')
(('todo', 0.019376716790818135), 16, (1560, 1281), None, 'hsl(0, 100%, 30%)')
(('cuando', 0.019016813057738842), 16, (1683, 1389), 2, 'hsl(0, 100%, 30%)')
(('son', 0.018906430202447318), 16, (1581, 1675), 2, 'hsl(0, 100%, 30%)')
(('dos', 0.018410518366115489), 16, (1644, 1527), 2, 'hsl(0, 100%, 30%)')
(('todos', 0.017485858786751428), 16, (1603, 1584), 2, 'hsl(0, 100%, 30%)')
(('mas', 0.017286194571906645), 16, (1506, 1304), None, 'hsl(0, 100%, 30%)')
(('ya', 0.01715380693807424), 16, (1524, 1481), 2, 'hsl(0, 100%, 30%)')
(('ni', 0.017066549257932703), 16, (1592, 1597), 2, 'hsl(0, 100%, 30%)')
(('parte', 0.016961747260658244), 16, (1560, 1356), None, 'hsl(0, 100%, 30%)')
(('mismo', 0.016557365806233765), 16, (1651, 1469), 2, 'hsl(0, 100%, 30%)')
(('hasta', 0.016342393585269458), 16, (1254, 1556), None, 'hsl(0, 100%, 30%)')
(('general', 0.015800572314590675), 16, (1320, 1608), None, 'hsl(0, 100%, 30%)')
(('han', 0.015453432803583333), 16, (1662, 1632), 2, 'hsl(0, 100%, 30%)')
(('porque', 0.015190991904051073), 16, (1700, 1558), 2, 'hsl(0, 100%, 30%)')
(('muy', 0.014448410785600864), 16, (1633, 1611), None, 'hsl(0, 100%, 30%)')
(('era', 0.014428622754231431), 16, (1472, 1390), 2, 'hsl(0, 100%, 30%)')
(('me', 0.014342606809658893), 16, (1498, 1636), None, 'hsl(0, 100%, 30%)')
(('puede', 0.01401130169227415), 16, (1404, 1440), 2, 'hsl(0, 100%, 30%)')
(('desde', 0.013717781183983462), 16, (1294, 1598), None, 'hsl(0, 100%, 30%)')
(('estado', 0.013577791550494331), 16, (1431, 1610), 2, 'hsl(0, 100%, 30%)')
(('e', 0.013496317321163848), 16, (1402, 1729), 2, 'hsl(0, 100%, 30%)')
(('ley', 0.013413886897623288), 16, (1473, 1257), 2, 'hsl(0, 100%, 30%)')
(('tan', 0.012934369098699411), 16, (1314, 1454), 2, 'hsl(0, 100%, 30%)')
(('gobierno', 0.012695531474002947), 16, (1529, 1528), None, 'hsl(0, 100%, 30%)')
(('señor', 0.012630285950193923), 16, (1345, 1665), None, 'hsl(0, 100%, 30%)')
(('bien', 0.012581372008796138), 16, (1285, 1413), 2, 'hsl(0, 100%, 30%)')
(('así', 0.011973689548733428), 16, (1399, 1264), None, 'hsl(0, 100%, 30%)')
(('tiempo', 0.011929268311764754), 16, (1271, 1554), 2, 'hsl(0, 100%, 30%)')
(('cada', 0.011775707218930712), 16, (1411, 1703), None, 'hsl(0, 100%, 30%)')
(('nos', 0.011712172321026703), 16, (1561, 1336), 2, 'hsl(0, 100%, 30%)')
(('sino', 0.011639558710500979), 16, (1643, 1656), None, 'hsl(0, 100%, 30%)')
(('mi', 0.011456678535534644), 16, (1497, 1477), None, 'hsl(0, 100%, 30%)')
(('otros', 0.011449258902278438), 16, (1560, 1555), 2, 'hsl(0, 100%, 30%)')
(('también', 0.011399792331319847), 16, (1527, 1247), None, 'hsl(0, 100%, 30%)')
(('pues', 0.011398134510447784), 16, (1340, 1436), 2, 'hsl(0, 100%, 30%)')
(('años', 0.011251451706929086), 16, (1362, 1688), None, 'hsl(0, 100%, 30%)')
(('está', 0.01105892498298478), 16, (1261, 1382), None, 'hsl(0, 100%, 30%)')
(('tiene', 0.01080290949944108), 16, (1511, 1376), 2, 'hsl(0, 100%, 30%)')
(('él', 0.010747911935332713), 16, (1558, 1677), None, 'hsl(0, 100%, 30%)')
(('donde', 0.01071014584799319), 16, (1345, 1415), 2, 'hsl(0, 100%, 30%)')
(('otro', 0.010698974875956788), 16, (1439, 1466), 2, 'hsl(0, 100%, 30%)')
(('otra', 0.010659223330362268), 16, (1677, 1524), 2, 'hsl(0, 100%, 30%)')
(('cual', 0.010618747786360759), 16, (1459, 1568), 2, 'hsl(0, 100%, 30%)')
(('estos', 0.01060260300957574), 16, (1647, 1540), 2, 'hsl(0, 100%, 30%)')
(('don', 0.010570737216057894), 16, (1322, 1353), None, 'hsl(0, 100%, 30%)')
(('hay', 0.010556596269279173), 16, (1683, 1489), 2, 'hsl(0, 100%, 30%)')
(('todas', 0.01043827672010841), 16, (1282, 1344), None, 'hsl(0, 100%, 30%)')
(('año', 0.01030902069654208), 16, (1660, 1413), None, 'hsl(0, 100%, 30%)')
(('uno', 0.01027329520168483), 16, (1299, 1645), None, 'hsl(0, 100%, 30%)')
(('mayor', 0.010187539926827442), 16, (1715, 1572), None, 'hsl(0, 100%, 30%)')
(('esto', 0.0099632148069595458), 16, (1631, 1434), None, 'hsl(0, 100%, 30%)')
(('contra', 0.0097071639215545007), 16, (1356, 1495), 2, 'hsl(0, 100%, 30%)')
(('sido', 0.0096154692766215622), 16, (1274, 1473), 2, 'hsl(0, 100%, 30%)')
(('les', 0.0094988679197133448), 16, (1304, 1321), 2, 'hsl(0, 100%, 30%)')
(('derecho', 0.0094675227944172723), 16, (1406, 1633), None, 'hsl(0, 100%, 30%)')
(('caso', 0.0094338588206693743), 16, (1704, 1412), 2, 'hsl(0, 100%, 30%)')
(('fué', 0.0093138567810432411), 16, (1340, 1315), None, 'hsl(0, 100%, 30%)')
(('hecho', 0.0092851369053882169), 16, (1430, 1295), 2, 'hsl(0, 100%, 30%)')
(('había', 0.0092692020072276064), 16, (1477, 1742), 2, 'hsl(0, 100%, 30%)')
(('ella', 0.0092382315473987387), 16, (1306, 1526), None, 'hsl(0, 100%, 30%)')
(('tanto', 0.0091405983358028089), 16, (1467, 1589), 2, 'hsl(0, 100%, 30%)')
(('vez', 0.0090494280470893793), 16, (1669, 1613), 2, 'hsl(0, 100%, 30%)')
(('hacer', 0.008881922898942728), 16, (1380, 1664), None, 'hsl(0, 100%, 30%)')
(('gran', 0.0088426871398522098), 16, (1561, 1649), 2, 'hsl(0, 100%, 30%)')
(('vida', 0.0088412975566863651), 16, (1632, 1296), 2, 'hsl(0, 100%, 30%)')
(('debe', 0.0088043657313717893), 16, (1532, 1327), None, 'hsl(0, 100%, 30%)')
(('siempre', 0.0087994027150716803), 16, (1551, 1521), 2, 'hsl(0, 100%, 30%)')
(('toda', 0.0087685457018314844), 16, (1511, 1677), 2, 'hsl(0, 100%, 30%)')
(('sólo', 0.008759311521646761), 16, (1614, 1405), 2, 'hsl(0, 100%, 30%)')
(('estas', 0.0086263356607994852), 16, (1667, 1340), 2, 'hsl(0, 100%, 30%)')
(('tal', 0.0086055062167997541), 16, (1572, 1695), None, 'hsl(0, 100%, 30%)')
(('ellos', 0.0085362656150872844), 16, (1417, 1260), 2, 'hsl(0, 100%, 30%)')
(('dicho', 0.0084492367127683692), 16, (1585, 1260), None, 'hsl(0, 100%, 30%)')
(('menos', 0.0084020329450177518), 16, (1467, 1659), None, 'hsl(0, 100%, 30%)')
(('forma', 0.0082298600369654865), 16, (1359, 1463), 2, 'hsl(0, 100%, 30%)')
(('sea', 0.0081709470000553199), 16, (1712, 1430), None, 'hsl(0, 100%, 30%)')
(('tres', 0.0081447357637848151), 16, (1291, 1434), 2, 'hsl(0, 100%, 30%)')
(('san', 0.0080489325628418113), 16, (1436, 1733), 2, 'hsl(0, 100%, 30%)')
(('yo', 0.008008341793151753), 16, (1500, 1250), 2, 'hsl(0, 100%, 30%)')
(('artículo', 0.0079967145960720964), 16, (1420, 1327), 2, 'hsl(0, 100%, 30%)')
(('después', 0.0079363008671618027), 16, (1739, 1490), None, 'hsl(0, 100%, 30%)')
(('nacional', 0.0079353785373135963), 16, (1497, 1391), None, 'hsl(0, 100%, 30%)')
(('misma', 0.0078838302846949149), 16, (1245, 1496), None, 'hsl(0, 100%, 30%)')
(('ese', 0.0078701509988373646), 16, (1378, 1332), 2, 'hsl(0, 100%, 30%)')
(('poder', 0.0078228278350976881), 16, (1591, 1458), None, 'hsl(0, 100%, 30%)')
(('otras', 0.0078222480586867277), 16, (1370, 1514), None, 'hsl(0, 100%, 30%)')
(('esa', 0.0077696932774267164), 16, (1475, 1454), 2, 'hsl(0, 100%, 30%)')
