(('en el caso de', 1.0), 86, (1456, 1237), None, 'hsl(0, 100%, 30%)')
(('de la ley de', 0.98266352965311121), 85, (1529, 1270), None, 'hsl(0, 100%, 30%)')
(('presidente de la república', 0.86049981332620062), 40, (1401, 1256), None, 'hsl(0, 100%, 30%)')
(('de los estados unidos', 0.82622271104762268), 39, (1349, 1277), None, 'hsl(0, 100%, 30%)')
(('la mayor parte de', 0.81995383459220961), 39, (1623, 1330), None, 'hsl(0, 100%, 30%)')
(('de la provincia de', 0.69937160555505717), 35, (1663, 1372), None, 'hsl(0, 100%, 30%)')
(('cada uno de los', 0.63287516663624022), 32, (1310, 1434), None, 'hsl(0, 100%, 30%)')
(('en la ciudad de', 0.59328228291090179), 31, (1707, 1402), None, 'hsl(0, 100%, 30%)')
(('el presidente de la', 0.59057170076357002), 30, (1269, 1378), None, 'hsl(0, 100%, 30%)')
(('de la ciudad de', 0.56981946166456543), 29, (1441, 1429), None, 'hsl(0, 100%, 30%)')
(('el punto de vista', 0.5287717488235617), 26, (1595, 1340), None, 'hsl(0, 100%, 30%)')
(('con el fin de', 0.50448397107870335), 25, (1731, 1427), None, 'hsl(0, 100%, 30%)')
(('con el objeto de', 0.50326272335276123), 23, (1441, 1237), None, 'hsl(0, 100%, 30%)')
(('con el nombre de', 0.48906235222454159), 20, (1244, 1415), None, 'hsl(0, 100%, 30%)')
(('cada una de las', 0.43664928923617874), 19, (1524, 1501), None, 'hsl(0, 100%, 30%)')
(('el hecho de que', 0.41399374667855232), 18, (1596, 1585), None, 'hsl(0, 100%, 30%)')
(('de acuerdo con el', 0.41023541739333952), 17, (1379, 1538), None, 'hsl(0, 100%, 30%)')
(('por medio de la', 0.38982231357282726), 16, (1314, 1307), None, 'hsl(0, 100%, 30%)')
(('desde el punto de', 0.37907071975439838), 15, (1379, 1375), None, 'hsl(0, 100%, 30%)')
(('el caso de que', 0.3773884011616242), 15, (1690, 1334), None, 'hsl(0, 100%, 30%)')
(('en el sentido de', 0.37108821995333358), 14, (1293, 1421), None, 'hsl(0, 100%, 30%)')
(('lo dispuesto en el', 0.36874535904751127), 13, (1327, 1316), None, 'hsl(0, 100%, 30%)')
(('al mismo tiempo que', 0.36816811395365223), 13, (1437, 1635), None, 'hsl(0, 100%, 30%)')
(('de la universidad de', 0.36618648730977826), 12, (1692, 1537), None, 'hsl(0, 100%, 30%)')
(('la mayoría de los', 0.34805925578771896), 12, (1522, 1669), None, 'hsl(0, 100%, 30%)')
(('de lo que se', 0.34394306600396768), 12, (1336, 1502), None, 'hsl(0, 100%, 30%)')
(('el momento en que', 0.34126665755969082), 12, (1383, 1265), None, 'hsl(0, 100%, 30%)')
(('mayor parte de los', 0.33100850561695988), 12, (1590, 1315), 2, 'hsl(0, 100%, 30%)')
(('la dirección general de', 0.32863903168777808), 11, (1615, 1375), None, 'hsl(0, 100%, 30%)')
(('que se refiere el', 0.31917482169289318), 11, (1611, 1665), 2, 'hsl(0, 100%, 30%)')
(('en la provincia de', 0.31508051242566248), 11, (1534, 1721), 2, 'hsl(0, 100%, 30%)')
(('en cuanto a la', 0.31166253137460698), 11, (1542, 1260), 2, 'hsl(0, 100%, 30%)')
(('la historia de la', 0.30846725325781887), 11, (1295, 1529), None, 'hsl(0, 100%, 30%)')
(('de que se trata', 0.30668554144015037), 11, (1531, 1408), None, 'hsl(0, 100%, 30%)')
(('en el año de', 0.29605438742024542), 11, (1343, 1643), None, 'hsl(0, 100%, 30%)')
(('de acuerdo con la', 0.29403299516599418), 11, (1338, 1353), None, 'hsl(0, 100%, 30%)')
(('de la cámara de', 0.29254657482699881), 11, (1459, 1351), 2, 'hsl(0, 100%, 30%)')
(('en el mes de', 0.2890957634550288), 11, (1295, 1327), None, 'hsl(0, 100%, 30%)')
(('los casos en que', 0.28245176140743539), 11, (1392, 1543), None, 'hsl(0, 100%, 30%)')
(('de la casa de', 0.28240050283212392), 11, (1461, 1644), 2, 'hsl(0, 100%, 30%)')
(('en la forma que', 0.27801698138872427), 11, (1750, 1461), None, 'hsl(0, 100%, 30%)')
(('de la facultad de', 0.27726719855723664), 11, (1460, 1242), None, 'hsl(0, 100%, 30%)')
(('en los estados unidos', 0.26899324352934523), 10, (1304, 1487), None, 'hsl(0, 100%, 30%)')
(('la cámara de diputados', 0.26702665732119879), 8, (1395, 1252), None, 'hsl(0, 100%, 30%)')
(('en el que se', 0.26023735118938718), 8, (1525, 1250), None, 'hsl(0, 100%, 30%)')
(('de la comisión de', 0.25948000736933996), 8, (1463, 1566), None, 'hsl(0, 100%, 30%)')
(('en la que se', 0.25506234524527832), 8, (1621, 1675), None, 'hsl(0, 100%, 30%)')
(('en los casos de', 0.2532048323645838), 8, (1471, 1340), 2, 'hsl(0, 100%, 30%)')
(('los estados unidos de', 0.25286972014067788), 8, (1615, 1527), None, 'hsl(0, 100%, 30%)')
(('lo que se refiere', 0.24887956655115798), 8, (1336, 1569), None, 'hsl(0, 100%, 30%)')
(('es uno de los', 0.24716633133049881), 8, (1653, 1522), None, 'hsl(0, 100%, 30%)')
(('de cada uno de', 0.24471823488173247), 8, (1696, 1475), None, 'hsl(0, 100%, 30%)')
(('en el campo de', 0.24346980139672825), 8, (1705, 1341), None, 'hsl(0, 100%, 30%)')
(('en el curso de', 0.24217336638430909), 8, (1656, 1442), None, 'hsl(0, 100%, 30%)')
(('en virtud de la', 0.24168496868947442), 8, (1702, 1610), None, 'hsl(0, 100%, 30%)')
(('en el seno de', 0.24106803597549731), 8, (1521, 1315), 2, 'hsl(0, 100%, 30%)')
(('en favor de la', 0.23955558397866378), 8, (1463, 1508), None, 'hsl(0, 100%, 30%)')
(('en lo que se', 0.23459627063059063), 8, (1346, 1371), None, 'hsl(0, 100%, 30%)')
(('en cuanto á la', 0.2325993193163447), 8, (1384, 1689), None, 'hsl(0, 100%, 30%)')
(('el gobierno de la', 0.22910235172820786), 8, (1528, 1367), 2, 'hsl(0, 100%, 30%)')
(('con motivo de la', 0.22820926804689998), 8, (1305, 1417), None, 'hsl(0, 100%, 30%)')
(('de la audiencia de', 0.22716235239606394), 8, (1604, 1302), 2, 'hsl(0, 100%, 30%)')
(('de uno de los', 0.22640814265207906), 8, (1539, 1380), 2, 'hsl(0, 100%, 30%)')
(('de la isla de', 0.21957731944573655), 8, (1362, 1684), None, 'hsl(0, 100%, 30%)')
(('de acuerdo con las', 0.21879852030553848), 8, (1303, 1330), None, 'hsl(0, 100%, 30%)')
(('cada uno de ellos', 0.21875807291311183), 8, (1298, 1612), None, 'hsl(0, 100%, 30%)')
(('en el ejercicio de', 0.21500077572117454), 8, (1626, 1359), 2, 'hsl(0, 100%, 30%)')
(('que se trata de', 0.21490191870949327), 8, (1461, 1706), None, 'hsl(0, 100%, 30%)')
(('río de la plata', 0.21380192436105516), 8, (1471, 1429), 2, 'hsl(0, 100%, 30%)')
(('los miembros de la', 0.21227597732476869), 8, (1543, 1732), 2, 'hsl(0, 100%, 30%)')
(('la ley de enjuiciamiento', 0.20778902988772108), 7, (1259, 1475), None, 'hsl(0, 100%, 30%)')
(('de la república de', 0.20757808507726364), 7, (1394, 1372), None, 'hsl(0, 100%, 30%)')
(('provincia de buenos aires', 0.20731976955150291), 7, (1431, 1356), None, 'hsl(0, 100%, 30%)')
(('por medio de un', 0.20641851198719485), 7, (1345, 1542), None, 'hsl(0, 100%, 30%)')
(('días del mes de', 0.20599827600252918), 7, (1234, 1465), None, 'hsl(0, 100%, 30%)')
(('por medio de una', 0.20489239746573462), 7, (1454, 1652), 2, 'hsl(0, 100%, 30%)')
(('la causa de la', 0.2037600352595644), 7, (1540, 1742), 2, 'hsl(0, 100%, 30%)')
(('en el momento de', 0.20346508993902673), 7, (1384, 1521), 2, 'hsl(0, 100%, 30%)')
(('los efectos de la', 0.20157675239396697), 7, (1372, 1683), None, 'hsl(0, 100%, 30%)')
(('de la misma manera', 0.19812643673228142), 7, (1455, 1634), 2, 'hsl(0, 100%, 30%)')
