(('de', 1.0), 90, (1632, 1518), None, 'hsl(0, 100%, 30%)')
(('la', 0.56041588476765036), 70, (1406, 1503), 2, 'hsl(0, 100%, 30%)')
(('que', 0.43062892556780863), 62, (1482, 1473), None, 'hsl(0, 100%, 30%)')
(('y', 0.41034908248071822), 61, (1337, 1305), 2, 'hsl(0, 100%, 30%)')
(('el', 0.38859304113736048), 59, (1552, 1564), None, 'hsl(0, 100%, 30%)')
(('en', 0.38428932200529997), 59, (1431, 1581), 2, 'hsl(0, 100%, 30%)')
(('los', 0.26024344008193739), 49, (1274, 1542), 2, 'hsl(0, 100%, 30%)')
(('del', 0.18778078954577676), 42, (1353, 1624), None, 'hsl(0, 100%, 30%)')
(('se', 0.1856678215579419), 42, (1655, 1333), None, 'hsl(0, 100%, 30%)')
(('las', 0.17261036302329996), 41, (1433, 1626), 2, 'hsl(0, 100%, 30%)')
(('a', 0.16277305667568584), 40, (1358, 1485), 2, 'hsl(0, 100%, 30%)')
(('por', 0.15891015956834961), 40, (1521, 1614), 2, 'hsl(0, 100%, 30%)')
(('con', 0.11558107281720353), 35, (1301, 1408), 2, 'hsl(0, 100%, 30%)')
(('no', 0.11520077790077692), 35, (1709, 1565), None, 'hsl(0, 100%, 30%)')
(('á', 0.10789912020465219), 34, (1513, 1714), None, 'hsl(0, 100%, 30%)')
(('su', 0.10134251441339952), 33, (1528, 1655), None, 'hsl(0, 100%, 30%)')
(('para', 0.094261414303565619), 32, (1626, 1638), None, 'hsl(0, 100%, 30%)')
(('un', 0.09259194294010277), 32, (1568, 1341), 2, 'hsl(0, 100%, 30%)')
(('al', 0.089847916533375954), 32, (1710, 1447), 2, 'hsl(0, 100%, 30%)')
(('una', 0.080912006386842344), 30, (1348, 1450), 2, 'hsl(0, 100%, 30%)')
(('es', 0.074012644415884427), 29, (1565, 1499), 2, 'hsl(0, 100%, 30%)')
(('lo', 0.068030747455746943), 28, (1450, 1301), 2, 'hsl(0, 100%, 30%)')
(('como', 0.060058533647760946), 26, (1458, 1687), 2, 'hsl(0, 100%, 30%)')
(('sus', 0.048136043546177891), 23, (1349, 1375), 2, 'hsl(0, 100%, 30%)')
(('más', 0.037659197966966748), 20, (1555, 1389), 2, 'hsl(0, 100%, 30%)')
(('este', 0.033582008751951872), 19, (1534, 1423), None, 'hsl(0, 100%, 30%)')
(('ha', 0.033476320623047583), 19, (1378, 1339), 2, 'hsl(0, 100%, 30%)')
(('o', 0.033265187589222693), 19, (1550, 1446), 2, 'hsl(0, 100%, 30%)')
(('esta', 0.031104896779919445), 18, (1546, 1276), None, 'hsl(0, 100%, 30%)')
(('si', 0.03003505486072448), 18, (1264, 1588), None, 'hsl(0, 100%, 30%)')
(('le', 0.028651485656114514), 18, (1729, 1480), None, 'hsl(0, 100%, 30%)')
(('sin', 0.027747725524479672), 18, (1558, 1534), 2, 'hsl(0, 100%, 30%)')
(('sobre', 0.027436245248969971), 18, (1391, 1580), None, 'hsl(0, 100%, 30%)')
(('pero', 0.026433206092815395), 18, (1685, 1491), 2, 'hsl(0, 100%, 30%)')
(('ó', 0.024460425318359773), 17, (1590, 1308), None, 'hsl(0, 100%, 30%)')
(('i', 0.020910040243209266), 16, (1703, 1509), 2, 'hsl(0, 100%, 30%)')
(('entre', 0.019803467220264982), 16, (1295, 1349), 2, 'hsl(0, 100%, 30%)')
(('ser', 0.019461585257559505), 16, (1373, 1307), None, 'hsl(0, 100%, 30%)')
(('todo', 0.019376716790818135), 16, (1612, 1348), 2, 'hsl(0, 100%, 30%)')
(('cuando', 0.019016813057738842), 16, (1573, 1413), 2, 'hsl(0, 100%, 30%)')
(('son', 0.018906430202447318), 16, (1392, 1418), 2, 'hsl(0, 100%, 30%)')
