,res,start,end
achillis,151,1800,1950
algonkins,76,1875,1950
anchylosis,139,1812,1950
aneurism,151,1800,1950
apothem,58,1893,1950
aretin,151,1800,1950
bagration,121,1830,1950
barbo,71,1880,1950
betther,101,1850,1950
bnt,151,1800,1950
bohannan,68,1883,1950
buol,104,1847,1950
calcaneo,123,1828,1950
chalier,47,1904,1950
cherusci,135,1816,1950
contagium,88,1863,1950
coquerel,112,1839,1950
corlear,89,1862,1950
cuv,134,1817,1950
cuyuni,68,1883,1950
dermod,150,1801,1950
duras,151,1800,1950
eailroad,106,1845,1950
ejusmodi,151,1800,1950
eneugh,140,1811,1950
equino,95,1856,1950
foresaid,151,1800,1950
genga,64,1887,1950
guelderland,151,1800,1950
happe,62,1889,1950
homoeopath,113,1838,1950
jasher,149,1802,1950
kabylia,74,1877,1950
keepit,140,1811,1950
kilom,75,1876,1950
lacedemonian,151,1800,1950
lancisi,151,1800,1950
loaner,73,1878,1950
m'donald,151,1800,1950
maartens,62,1889,1950
machault,109,1842,1950
martinico,151,1800,1950
massimiliano,70,1881,1950
miggs,85,1866,1950
moncey,150,1801,1950
mylo,129,1822,1950
nalle,67,1884,1950
ormulum,104,1847,1950
parietes,151,1800,1950
phthisical,151,1800,1950
picou,60,1891,1950
plassy,116,1835,1950
preceptorship,85,1866,1950
pringles,65,1886,1950
puisieux,73,1878,1950
pultusk,145,1806,1950
purifieth,151,1800,1950
pylephlebitis,80,1871,1950
qat,70,1881,1950
rarotongan,64,1887,1950
refluent,151,1800,1950
rosevear,74,1877,1950
schwalbach,120,1831,1950
seignior,151,1800,1950
seigniors,123,1828,1950
simoda,96,1855,1950
soemmering,144,1807,1950
sordes,151,1800,1950
suzon,77,1874,1950
tirailleurs,142,1809,1950
toula,101,1850,1950
tympanitis,127,1824,1950
undauntedly,151,1800,1950
urethrotomy,85,1866,1950
vanhomrigh,109,1842,1950
vatel,115,1836,1950
velpeau,124,1827,1950
venerabili,151,1800,1950
viiith,63,1888,1950
villeroy,151,1800,1950
