,res,start,end
ablancourt,151,1800,1950
accipiat,151,1800,1950
accroistre,134,1817,1950
adan,101,1850,1950
adynamique,151,1800,1950
aidede,151,1800,1950
alque,151,1800,1950
amez,119,1832,1950
asseline,90,1861,1950
assés,113,1838,1950
auctorité,133,1818,1950
avés,119,1832,1950
bautain,126,1825,1950
bayles,102,1849,1950
bennigsen,78,1873,1950
blasme,133,1818,1950
bukarest,116,1835,1950
bysance,151,1800,1950
cerna,151,1800,1950
ceulx,135,1816,1950
chàtel,147,1804,1950
cognoist,119,1832,1950
colonage,115,1836,1950
combatre,151,1800,1950
comitats,111,1840,1950
commenca,151,1800,1950
compaignie,135,1816,1950
congnoissance,121,1830,1950
conseillier,119,1832,1950
consiliis,151,1800,1950
conventu,147,1804,1950
copiam,151,1800,1950
corum,151,1800,1950
coseigneurs,101,1850,1950
cousté,135,1816,1950
couzon,122,1829,1950
daignant,151,1800,1950
debvoir,135,1816,1950
deffense,119,1832,1950
demeurans,151,1800,1950
demourant,133,1818,1950
desuper,138,1813,1950
dictes,151,1800,1950
dinaires,151,1800,1950
discordia,141,1810,1950
dolgorouki,151,1800,1950
eliam,151,1800,1950
enffans,119,1832,1950
esclavons,151,1800,1950
escript,135,1816,1950
eslevé,119,1832,1950
estouteville,148,1803,1950
estoyent,133,1818,1950
faictz,123,1828,1950
fayel,151,1800,1950
flaccidité,151,1800,1950
fouilloux,119,1832,1950
foulahs,79,1872,1950
fétidité,151,1800,1950
gaietés,140,1811,1950
galabert,76,1875,1950
grailly,78,1873,1950
gresse,104,1847,1950
gruaux,136,1815,1950
henrys,150,1801,1950
hospodars,140,1811,1950
hématocèle,112,1839,1950
héry,111,1840,1950
illec,134,1817,1950
impost,127,1824,1950
innocens,151,1800,1950
insultées,144,1807,1950
intercessions,150,1801,1950
jeg,142,1809,1950
jouyr,120,1831,1950
jubet,151,1800,1950
landwehr,137,1814,1950
larda,151,1800,1950
léopol,119,1832,1950
malléoles,151,1800,1950
manans,142,1809,1950
marcigny,120,1831,1950
mesmement,141,1810,1950
moinet,105,1846,1950
moncade,148,1803,1950
moys,135,1816,1950
multitudinem,151,1800,1950
papuleuses,116,1835,1950
parcequ'elle,151,1800,1950
pardes,151,1800,1950
parentis,76,1875,1950
parolles,135,1816,1950
parquoy,135,1816,1950
passement,137,1814,1950
pauthier,122,1829,1950
peyne,118,1833,1950
philomèle,151,1800,1950
pyrogallique,100,1851,1950
quartiergénéral,151,1800,1950
recepte,119,1832,1950
recut,151,1800,1950
remonstrances,135,1816,1950
remontra,151,1800,1950
rossillon,96,1855,1950
ruffi,118,1833,1950
rupt,127,1824,1950
sandomir,145,1806,1950
sassafras,151,1800,1950
saturnines,141,1810,1950
scel,151,1800,1950
seel,119,1832,1950
sensorium,151,1800,1950
shrapnels,105,1846,1950
simarre,151,1800,1950
sirmium,117,1834,1950
soubz,123,1828,1950
soyecourt,131,1820,1950
statutum,151,1800,1950
steenstrup,109,1842,1950
subditis,151,1800,1950
ségalas,131,1820,1950
sénarmont,125,1826,1950
tarvis,137,1814,1950
temporalibus,126,1825,1950
tengo,76,1875,1950
testât,119,1832,1950
touron,101,1850,1950
toz,118,1833,1950
traicte,121,1830,1950
troys,123,1828,1950
tumulaires,138,1813,1950
unsern,117,1834,1950
venans,151,1800,1950
vertot,151,1800,1950
veues,135,1816,1950
viart,118,1833,1950
vidin,53,1898,1950
villarceau,111,1840,1950
vimes,151,1800,1950
vindrent,134,1817,1950
vitia,151,1800,1950
vivandiers,151,1800,1950
volentes,145,1806,1950
voluerint,137,1814,1950
volunté,121,1830,1950
voulans,137,1814,1950
voullu,119,1832,1950
yorck,151,1800,1950
évéque,151,1800,1950
évéques,151,1800,1950
