,res,start,end
africanité,59,1950,2008
ainfi,59,1950,2008
amhara,59,1950,2008
autoridad,59,1950,2008
ayuntamiento,59,1950,2008
bellmer,59,1950,2008
bonvoisin,59,1950,2008
bosser,59,1950,2008
cancérogène,59,1950,2008
cancérogènes,59,1950,2008
cantemir,59,1950,2008
centrafricains,59,1950,2008
chloramphénicol,59,1950,2008
colonos,59,1950,2008
complémentation,59,1950,2008
conversos,59,1950,2008
darou,59,1950,2008
daumard,59,1950,2008
desgraves,59,1950,2008
despre,59,1950,2008
dida,59,1950,2008
dragéifiés,47,1950,1996
dupeux,59,1950,2008
dyadique,59,1950,2008
décoloniser,59,1950,2008
edta,59,1950,2008
eminescu,59,1950,2008
existoient,59,1950,2008
fillmore,59,1950,2008
fofana,59,1950,2008
gabriella,59,1950,2008
gouvernorats,59,1950,2008
gurdjieff,59,1950,2008
hegels,59,1950,2008
huarte,59,1950,2008
héritabilité,59,1950,2008
ifla,59,1950,2008
isoniazide,59,1950,2008
jenson,59,1950,2008
jouannet,59,1950,2008
jûrgen,59,1950,2008
khider,59,1950,2008
lacrosse,59,1950,2008
ligou,59,1950,2008
lindane,59,1950,2008
lindsey,59,1950,2008
maitron,59,1950,2008
mennonites,59,1950,2008
minguet,59,1950,2008
mpc,59,1950,2008
nadaillac,59,1950,2008
namer,59,1950,2008
napalm,59,1950,2008
nootka,59,1950,2008
néandertaliens,59,1950,2008
onimus,59,1950,2008
ostension,59,1950,2008
outcomes,59,1950,2008
oyo,59,1950,2008
palynologiques,59,1950,2008
phouma,59,1950,2008
pichois,59,1950,2008
podria,59,1950,2008
psychanal,59,1950,2008
raûl,59,1950,2008
replication,59,1950,2008
rokkan,59,1950,2008
saliou,59,1950,2008
sango,59,1950,2008
severen,59,1950,2008
signoria,59,1950,2008
songhay,59,1950,2008
souvanna,59,1950,2008
spesa,59,1950,2008
sérotypes,59,1950,2008
taxon,59,1950,2008
tchicaya,59,1950,2008
thornhill,59,1950,2008
topoi,59,1950,2008
traducción,59,1950,2008
transférentiel,59,1950,2008
tromba,59,1950,2008
tsy,59,1950,2008
varda,59,1950,2008
waelbroeck,59,1950,2008
weimarer,59,1950,2008
yaka,59,1950,2008
yola,59,1950,2008
zarka,59,1950,2008
