,res,start,end
abgerückt,159,1850,2008
abgeschnürten,128,1850,1977
abgestufte,159,1850,2008
abgrenzte,159,1850,2008
abliegenden,151,1850,2000
absonderlichkeit,159,1850,2008
abstraktum,159,1850,2008
abstrusen,159,1850,2008
absturz,159,1850,2008
absurdum,159,1850,2008
abwickelt,159,1850,2008
abziehbar,159,1850,2008
accurate,159,1850,2008
adagio,159,1850,2008
aden,159,1850,2008
adnexen,123,1850,1972
adols,95,1850,1944
advocatus,159,1850,2008
aequitas,159,1850,2008
aeternam,159,1850,2008
aeterno,159,1850,2008
aeternum,159,1850,2008
africana,159,1850,2008
afrikanischem,159,1850,2008
agathe,159,1850,2008
aggregates,92,1850,1941
agitur,159,1850,2008
aile,159,1850,2008
aimer,159,1850,2008
alcune,159,1850,2008
alfieri,159,1850,2008
aliena,159,1850,2008
alkoholvergiftung,159,1850,2008
alla,159,1850,2008
allegro,159,1850,2008
alleinstehend,159,1850,2008
alltäglichsten,159,1850,2008
alpenländer,159,1850,2008
alphabeten,159,1850,2008
altbekannte,159,1850,2008
altchristlichen,159,1850,2008
altindischen,159,1850,2008
amboss,72,1850,1921
amore,159,1850,2008
amour,159,1850,2008
amüsant,159,1850,2008
anderenfalls,159,1850,2008
angewohnheiten,159,1850,2008
angler,159,1850,2008
angreifbar,159,1850,2008
angulus,95,1850,1944
anim,90,1850,1939
annoncen,159,1850,2008
année,159,1850,2008
anschaffungskosten,159,1850,2008
ansteigender,159,1850,2008
ansäuern,95,1850,1944
antarktischen,159,1850,2008
anthologie,159,1850,2008
anzulaufen,159,1850,2008
anzutreffende,159,1850,2008
apennin,159,1850,2008
apologien,159,1850,2008
appliquée,159,1850,2008
apsis,159,1850,2008
aral,96,1850,1945
arbeitendes,159,1850,2008
arbeiterwohnungen,159,1850,2008
arbitrium,159,1850,2008
ariel,159,1850,2008
aristotele,159,1850,2008
arno,159,1850,2008
artenzahl,159,1850,2008
arteriitis,136,1850,1985
artium,159,1850,2008
asia,159,1850,2008
assertorisch,89,1850,1938
athenaeum,159,1850,2008
auber,159,1850,2008
auctore,159,1850,2008
auffallig,159,1850,2008
auffälligen,159,1850,2008
auffälliger,159,1850,2008
auffälligsten,159,1850,2008
aufgeblähte,159,1850,2008
aufgebrochene,159,1850,2008
aufgegessen,159,1850,2008
aufragen,159,1850,2008
aufruht,159,1850,2008
aufstellungsort,159,1850,2008
aufzugs,159,1850,2008
augenmaß,159,1850,2008
ausdruckslos,159,1850,2008
ausgeglichene,159,1850,2008
ausgestrahlte,159,1850,2008
ausrechnen,159,1850,2008
ausrechnung,149,1850,1998
australische,159,1850,2008
austreibungsperiode,123,1850,1972
ausweislich,159,1850,2008
autograph,159,1850,2008
auxilium,159,1850,2008
babenberger,159,1850,2008
badajoz,66,1850,1915
badewasser,159,1850,2008
bancroft,159,1850,2008
bankinstitut,159,1850,2008
baptisterium,159,1850,2008
baracken,159,1850,2008
bauformen,159,1850,2008
baugeschichte,159,1850,2008
bauunternehmen,159,1850,2008
bauweise,159,1850,2008
bavaria,159,1850,2008
bayeux,159,1850,2008
beaune,159,1850,2008
beethoven,159,1850,2008
before,159,1850,2008
befunde,159,1850,2008
beharrungsvermögen,159,1850,2008
beherrschendes,159,1850,2008
beistellung,159,1850,2008
belässt,159,1850,2008
benedetto,159,1850,2008
benedicti,159,1850,2008
beobachtungszeit,159,1850,2008
berkeley,159,1850,2008
bernini,159,1850,2008
beschwörungsformeln,159,1850,2008
besitzerwerb,95,1850,1944
besoins,159,1850,2008
besuchers,159,1850,2008
betriebseinrichtung,159,1850,2008
betriebsverhältnisse,159,1850,2008
bevölkerungszahl,159,1850,2008
bevölkerungszunahme,159,1850,2008
bewegungsart,159,1850,2008
bewegungsweise,159,1850,2008
