,res,start,end
abchasien,59,1950,2008
abf,59,1950,2008
abgekoppelt,59,1950,2008
abidjan,59,1950,2008
absatzmittler,59,1950,2008
achad,59,1950,2008
adapter,59,1950,2008
affirmiert,59,1950,2008
agrarstrukturellen,59,1950,2008
ajil,59,1950,2008
aktionsarten,59,1950,2008
akzeptables,59,1950,2008
akzeptierende,59,1950,2008
algorithmen,59,1950,2008
allensbacher,59,1950,2008
amerikabild,59,1950,2008
amp,59,1950,2008
anaphorischen,59,1950,2008
anatoli,59,1950,2008
angemietet,59,1950,2008
anlagenteile,59,1950,2008
anlaufstellen,59,1950,2008
anspruchsvoraussetzungen,59,1950,2008
antiamerikanismus,59,1950,2008
antikolonialen,59,1950,2008
antikolonialismus,59,1950,2008
antriebstechnik,59,1950,2008
antw,59,1950,2008
anwendern,59,1950,2008
appellativen,59,1950,2008
apperzeptive,59,1950,2008
arbeitsebene,59,1950,2008
arbeitsorganisatorische,59,1950,2008
arbeitsschritt,59,1950,2008
arbeitstags,59,1950,2008
arbeitsumgebung,59,1950,2008
arbeitsumwelt,59,1950,2008
archivgutes,59,1950,2008
archivische,59,1950,2008
archivmaterialien,59,1950,2008
archiwerwaltung,59,1950,2008
arntzen,59,1950,2008
arousal,59,1950,2008
asahi,59,1950,2008
atommächte,59,1950,2008
aufbruchsstimmung,59,1950,2008
aufschlüsseln,59,1950,2008
aufsichtsgremien,59,1950,2008
aufwendiges,59,1950,2008
ausbildungsberufe,59,1950,2008
ausfallzeiten,59,1950,2008
ausgebucht,59,1950,2008
ausgleichszulage,59,1950,2008
ausgrenzt,59,1950,2008
auslandsschulen,59,1950,2008
auslandsstudium,59,1950,2008
ausrüstungsinvestitionen,59,1950,2008
ausscheren,59,1950,2008
aussiedlern,59,1950,2008
austauschprogramme,59,1950,2008
autorengruppe,59,1950,2008
awv,59,1950,2008
baath,59,1950,2008
bales,59,1950,2008
baltes,59,1950,2008
barner,59,1950,2008
bayernwerk,59,1950,2008
bayoblg,59,1950,2008
bba,59,1950,2008
bbg,59,1950,2008
bdp,59,1950,2008
bebauungsplans,59,1950,2008
bedarfsgerecht,59,1950,2008
bedarfsgerechten,59,1950,2008
beeindruckendes,59,1950,2008
begriffsverwendung,59,1950,2008
behavioural,59,1950,2008
beitrittsurkunde,59,1950,2008
benser,59,1950,2008
benutzergruppen,59,1950,2008
berichtspflicht,59,1950,2008
berijas,59,1950,2008
bertaux,59,1950,2008
berufsbezogenen,59,1950,2008
berufskarriere,59,1950,2008
berufsvorbereitenden,59,1950,2008
besatzern,59,1950,2008
beschreibungs,59,1950,2008
bestandsverzeichnis,59,1950,2008
beteiligungsmöglichkeiten,59,1950,2008
bewegungsmangel,59,1950,2008
bezirkstag,59,1950,2008
bezugspunkten,59,1950,2008
bfh,59,1950,2008
bghz,59,1950,2008
bhg,59,1950,2008
bibliotheksinstitut,59,1950,2008
biblos,59,1950,2008
bilanzielle,59,1950,2008
bildquellen,59,1950,2008
bildungsministerium,59,1950,2008
bildungspolitischen,59,1950,2008
bildunterschrift,59,1950,2008
biogenen,59,1950,2008
bkv,59,1950,2008
bogdanov,59,1950,2008
bohumil,59,1950,2008
bosl,59,1950,2008
botha,59,1950,2008
braudel,59,1950,2008
brezan,59,1950,2008
broker,59,1950,2008
bruderländern,59,1950,2008
bublitz,59,1950,2008
buganda,59,1950,2008
bundesarbeitsgemeinschaft,59,1950,2008
bundesbaugesetzes,59,1950,2008
bundesbürgern,59,1950,2008
bundesdruckerei,59,1950,2008
bundesgeschäftsführer,59,1950,2008
bundesgesundheitsamtes,59,1950,2008
bundesgrenzschutzes,59,1950,2008
bundeshaushaltsplans,59,1950,2008
bundesinnenministeriums,59,1950,2008
bundespresseamt,59,1950,2008
bundespräsidialamt,59,1950,2008
bundestagssitzung,59,1950,2008
bundesverfassungsrichter,59,1950,2008
bundesversorgungsgesetzes,59,1950,2008
buttinger,59,1950,2008
bwl,59,1950,2008
bölls,59,1950,2008
bürgervorsteher,59,1950,2008
cardoso,59,1950,2008
carolyn,59,1950,2008
cartoons,59,1950,2008
caspers,59,1950,2008
ccs,59,1950,2008
ch'en,59,1950,2008
champaign,59,1950,2008
chats,59,1950,2008
chih,59,1950,2008
chozjajstva,59,1950,2008
cnrs,59,1950,2008
comunista,59,1950,2008
configurations,59,1950,2008
connor,59,1950,2008
cordula,59,1950,2008
coupling,59,1950,2008
cpp,59,1950,2008
crick,59,1950,2008
czaja,59,1950,2008
cärdenas,59,1950,2008
dahlke,59,1950,2008
dap,59,1950,2008
datensammlungen,59,1950,2008
dauerausstellung,59,1950,2008
demokratisierungsprozesses,59,1950,2008
detente,59,1950,2008
deuerlein,59,1950,2008
diachronischen,59,1950,2008
diederichsen,59,1950,2008
dienstrechts,59,1950,2008
diller,59,1950,2008
dimitrov,59,1950,2008
diod,59,1950,2008
dipper,59,1950,2008
direktstudium,59,1950,2008
diskothek,59,1950,2008
diskussionsentwurf,59,1950,2008
djakarta,59,1950,2008
dokumentationszentrum,59,1950,2008
dominic,59,1950,2008
dostoevskijs,59,1950,2008
dov,59,1950,2008
drg,59,1950,2008
drimmel,59,1950,2008
driz,59,1950,2008
drobnig,59,1950,2008
druckindustrie,59,1950,2008
dstr,59,1950,2008
dylan,59,1950,2008
dzieje,59,1950,2008
dölling,59,1950,2008
eac,59,1950,2008
earthquake,59,1950,2008
ecol,59,1950,2008
