,res,start,end
auf dem reichstage zu,138,1813,1950
bis zu dem zeitpunkte,151,1800,1950
dass er in den,120,1831,1950
dass es auch in,113,1838,1950
dass es zu einer,117,1834,1950
dass sie nicht in,126,1825,1950
der ganzen länge des,146,1805,1950
der prinz von preußen,111,1840,1950
der versuch ist strafbar,83,1868,1950
die linke seite des,145,1806,1950
gleicher höhe mit dem,134,1817,1950
habe ich bis jetzt,143,1808,1950
habe ich schon in,134,1817,1950
haben wir schon oben,138,1813,1950
ihr einfluss auf die,121,1830,1950
in die höhe gezogen,150,1801,1950
lässt sich nicht mehr,117,1834,1950
sehe ich nicht ein,127,1824,1950
so weit es sich,141,1810,1950
von der art ist,151,1800,1950
von der linken seite,149,1802,1950
von der rechten seite,151,1800,1950
