,res,start,end
aap,59,1950,2008
adicciones,59,1950,2008
aerolínea,59,1950,2008
alazraki,59,1950,2008
alemann,59,1950,2008
antiinflacionario,59,1950,2008
antipoesía,59,1950,2008
antisindical,59,1950,2008
aparcamientos,59,1950,2008
asc,59,1950,2008
astronauta,59,1950,2008
atunera,59,1950,2008
ayahuasca,59,1950,2008
bardot,59,1950,2008
bikini,59,1950,2008
biomasa,59,1950,2008
blanquiazul,59,1950,2008
bloqueantes,59,1950,2008
boutros,59,1950,2008
brigitte,59,1950,2008
cadernos,59,1950,2008
camaroneras,59,1950,2008
caravelle,59,1950,2008
cardenismo,59,1950,2008
cardenistas,59,1950,2008
cenepa,59,1950,2008
chenalhó,59,1950,2008
chimalistac,59,1950,2008
cij,59,1950,2008
cliffs,59,1950,2008
clint,59,1950,2008
cnr,59,1950,2008
comercializadoras,59,1950,2008
computers,59,1950,2008
concernidos,59,1950,2008
conflictividad,59,1950,2008
convocantes,59,1950,2008
copeyano,59,1950,2008
copi,59,1950,2008
corel,59,1950,2008
covarianzas,59,1950,2008
cpt,59,1950,2008
crefal,59,1950,2008
cronograma,59,1950,2008
cuestionaban,59,1950,2008
dayan,59,1950,2008
desacelerar,59,1950,2008
desconcentrado,59,1950,2008
desprotegida,59,1950,2008
diacronía,59,1950,2008
dinamizadores,59,1950,2008
disfuncionales,59,1950,2008
distorsionante,59,1950,2008
ducharse,59,1950,2008
eac,59,1950,2008
ecopetrol,59,1950,2008
enfatizaron,59,1950,2008
espriu,59,1950,2008
estalinistas,59,1950,2008
estrés,59,1950,2008
evaluarlas,59,1950,2008
evaluará,59,1950,2008
fdp,59,1950,2008
fev,59,1950,2008
francastel,59,1950,2008
gender,59,1950,2008
generalistas,59,1950,2008
generaran,59,1950,2008
genocida,59,1950,2008
genocidas,59,1950,2008
giolitti,59,1950,2008
globalizador,59,1950,2008
glucocorticoides,59,1950,2008
golpista,59,1950,2008
gramaticalización,59,1950,2008
groundwater,59,1950,2008
hammarskjold,59,1950,2008
hidrocortisona,59,1950,2008
icn,59,1950,2008
igm,59,1950,2008
imf,59,1950,2008
implosiva,59,1950,2008
inh,59,1950,2008
inmunoglobulinas,59,1950,2008
institucionalizando,59,1950,2008
institucionalizarse,59,1950,2008
instrumentarse,59,1950,2008
interactivas,59,1950,2008
interbancario,59,1950,2008
interdisciplinario,59,1950,2008
interindustriales,59,1950,2008
intrarregional,59,1950,2008
invasivas,59,1950,2008
inácio,59,1950,2008
irc,59,1950,2008
isp,59,1950,2008
janice,59,1950,2008
jarchas,59,1950,2008
jauretche,59,1950,2008
kagan,59,1950,2008
kawasaki,59,1950,2008
laparoscópica,59,1950,2008
liberalizadora,59,1950,2008
llustración,59,1950,2008
lomé,59,1950,2008
lonardi,59,1950,2008
lsd,59,1950,2008
lzquierda,59,1950,2008
magonista,59,1950,2008
markers,59,1950,2008
masificada,59,1950,2008
maximización,59,1950,2008
mcg,59,1950,2008
mef,59,1950,2008
microeconómico,59,1950,2008
minimice,59,1950,2008
mirage,59,1950,2008
mitsubishi,59,1950,2008
mitsui,59,1950,2008
modalización,59,1950,2008
modotti,59,1950,2008
monsiváis,59,1950,2008
moteles,59,1950,2008
motivacional,59,1950,2008
motorola,59,1950,2008
muestral,59,1950,2008
multirracial,59,1950,2008
nab,59,1950,2008
naclonal,59,1950,2008
napalm,59,1950,2008
nauca,59,1950,2008
observateur,59,1950,2008
ocde,59,1950,2008
ocoyoacac,59,1950,2008
ofrescido,59,1950,2008
onassis,59,1950,2008
optimización,59,1950,2008
palatalización,59,1950,2008
paquistaní,59,1950,2008
parafiscales,59,1950,2008
parameter,59,1950,2008
paramédico,59,1950,2008
paty,59,1950,2008
plurilingüe,59,1950,2008
pluripartidista,59,1950,2008
predecibles,59,1950,2008
predictores,59,1950,2008
prejuiciada,59,1950,2008
presley,59,1950,2008
prialé,59,1950,2008
prioritarios,59,1950,2008
promocionar,59,1950,2008
prototípicos,59,1950,2008
psc,59,1950,2008
radiotelevisión,59,1950,2008
reacomodos,59,1950,2008
recesiones,59,1950,2008
recursivo,59,1950,2008
reevaluación,59,1950,2008
reorientando,59,1950,2008
reparcelación,59,1950,2008
repitentes,59,1950,2008
rettig,59,1950,2008
reuso,59,1950,2008
rogoff,59,1950,2008
saudí,59,1950,2008
sdn,59,1950,2008
segnini,59,1950,2008
serotipo,59,1950,2008
sintagmáticas,59,1950,2008
smog,59,1950,2008
sociopolíticas,59,1950,2008
solapamiento,59,1950,2008
stavenhagen,59,1950,2008
stephanie,59,1950,2008
stroessner,59,1950,2008
subcuencas,59,1950,2008
subempleada,59,1950,2008
subocupados,59,1950,2008
subpoblaciones,59,1950,2008
superavitaria,59,1950,2008
superexplotación,59,1950,2008
superyó,59,1950,2008
swazilandia,59,1950,2008
tarre,59,1950,2008
taíno,59,1950,2008
tecnocrático,59,1950,2008
telecom,59,1950,2008
temporomandibular,59,1950,2008
thorac,59,1950,2008
tumeremo,59,1950,2008
ultraderechista,59,1950,2008
validadas,59,1950,2008
varianzas,59,1950,2008
vertebrador,59,1950,2008
viceministros,59,1950,2008
warman,59,1950,2008
xalpa,59,1950,2008
yakarta,59,1950,2008
ypfb,59,1950,2008
