,res,start,end
acciones de guerra donde,25,1926,1950
acuerda un crédito adicional,35,1916,1950
al rededor de las,151,1800,1950
dia en que el,151,1800,1950
dia en que la,151,1800,1950
dios guarde muchos años,147,1804,1950
donde ha servido en,25,1926,1950
el despacho de gobernación,71,1880,1950
el funcionario público que,93,1858,1950
en el último periodo,134,1817,1950
en los primeros dias,151,1800,1950
guerra donde se ha,25,1926,1950
infracción de ley que,91,1860,1950
la palabra en contra,117,1834,1950
los primeros dias de,151,1800,1950
los tres dias siguientes,124,1827,1950
pobres de la sociedad,74,1877,1950
puede continuar el señor,79,1872,1950
recibo de la presente,116,1835,1950
regimientos donde ha servido,25,1926,1950
se le hace saber,64,1887,1950
seguridades de mi muy,74,1877,1950
servir los empleos empleos,25,1926,1950
total hasta fin de,25,1926,1950
